Nivel1D1_1;Denebola;Forastero, parece que te has enfrentado con algunos infectado. Ya te queda solo la mitad por liberar.
Nivel1D1_2;Denebola; Por si te lo preguntabas, los infectados a los que te has enfrentado, aunque te puedan parecer simples cactus andantes, anteriormente eran nuestros vecinos y familiares.
Nivel1D1_3;Coyote;¿Cómo es que acabaron así?
Nivel1D1_4;Denebola;Esta infección no fue por una plaga, más bien descubrimos tarde que se debió a unos higos chumbos que consumíamos al ser nuestra casi única fuente de alimento.
Nivel1D1_5;Denebola;Por desgracia, descubrimos tarde sus consecuencias. Fue un duro golpe para nuestra comunidad.
Nivel1D1_6;Denebola;Así que, si te encuentras algún higo chumbo o alguien te lo ofrece, no lo acepte a menos que quieras acabar como ellos.
;;
Nivel1D2_1;perro;Muchas gracias por liberar a Pricklytown de los infectados. Por el momento podremos dormir tranquilos hasta que vuelvan aparecer. 
Nivel1D2_2;Coyote;¿Eres el carretero? Vengo de parte de Denébola.
Nivel1D2_3;perro;Con que Denébola, eh. Si, es una amiga cercana¿Qué te ha prometido?
Nivel1D2_4;Coyote;Necesito llegar al Oasis. Me ha dicho que a cambio de liberar el pueblo me podrías llevar a donde quisiera. 
Nivel1D2_6;perro;¿Estás seguro de que quieres ir ahí? No sé si lo sabes, pero el aclamado Oasis no es lo que era.
Nivel1D2_7;perro;Después de la fallida excavación de un canal, este acabó secándose y convirtiéndose en una jungla de cactus de la noche a la mañana.
Nivel1D2_8;perro;Ahora no es más que un nido de infectados y un lugar de culto para unos chiflados que viven ahí.
Nivel1D2_9;Coyote;Esas cosas me dan igual, una vez emprendí mi viaje ya no tengo la oportunidad de volver atrás.
Nivel1D2_10;perro;Si tu objetivo es llegar ahí adelante, no te detendré. Solo podré acercarte al cañón que se encuentra antes de llegar, a partir de ahí estas solo amigo.
;;
;;
Nivel2D1_1;perro;Antes de marcharte quería darte un consejo.
Nivel2D1_2;perro;Mi caballo cuando ve a algún sapo de esos, le da una patada haciendo que salgan volando y exploten en la lejanía. 
Nivel2D1_3;perro;A lo mejor tú puedes intentar algo parecido.
Nivel2D1_4;perro;Mucha suerte en tu viaje y ojalá volver a verte de vuelta. Espero por tu bien que esos chiflados tengan razón.
;;
Nivel2D2_1;Carlos;Eh tú, si tú.
Nivel2D2_2;Carlos;Antes de que me pegues no, no soy uno de esos infectados, simplemente me convertí en un cactus al comer el higo durante una guardia, pero mírame estoy como un roble.
Nivel2D2_3;Carlos;Mi nombre es Carlos, el de los pinchos largos.
Nivel2D2_4;Carlos;Tu cara me quiere sonar de algo, pero no sé de qué. Hace tiempo trabajaba con un sheriff muy noble.
Nivel2D2_5;Carlos;Nos dedicábamos a proteger las calles e intentar detener a los forajidos más buscados, como aquel dúo famoso. ¿Colleja y Lanza? ¿Coyota y Lincoln? No me acuerdo.
Nivel2D2_6;Carlos;Por cierto, alguno de esos sectarios del higo me ha intentado secuestrar, pero quedándome quieto me camuflo perfectamente.
Nivel2D2_7;Carlos;Ten cuidado, si sigues adelante acabarás en su iglesia y no es que sean muy amigables.
Nivel2D2_8;Carlos;Por cierto, espero que te gusten los toros.
;;
Nivel3D1_1;Lider;Hermano, bienvenido a nuestro hogar.
Nivel3D1_2;Lider;Aquí solo los más fuertes son capaces de cumplir sus deseos más profundos.
Nivel3D1_3;Lider;Si realmente quieres reencontrarte con alguno de tus seres queridos avanza, avanza hasta en vientre de esta jungla donde encontrarás la piedra de nuestro Dios.
Nivel3D1_4;Lider;Si haces contacto con ella, él se manifestará.
Nivel3D1_5;Lider;Eso sí, como he mencionado solo lo más fuertes son capaces de cumplir sus deseos. El trayecto no será sencillo, pero es el precio a pagar.
Nivel3D1_6;Lider;Al avanzar te encontrarás unas pruebas que hemos preparado para ver que eres digno.
Nivel3D1_7;Lider;Mucha suerte hermano y gloria al higo sagrado.
